Título,Enlace_Origen,Descripción,Votos_Original,Clics_Original,Fuente_Monitoreo,Votos_Numerico,Clics_Numerico,Ratio_Validacion_%,Contiene_Palabra_Clave,¿Es_Sospechosa?
El profesorado madrileño iniciará una huelga indefinida el 14 de octubre,https://efe.com/espana/2026-06-24/huelga-indefinida-profesores-madrid/,El profesorado de la educación pública madrileña iniciará una huelga indefinida a partir del próximo 14 de octubre para exigir mejoras en las condiciones laborales y educativas del sector.,412,495 clics,Menéame Portada - Pág 2,412,495,83.06451612903226,False,False
La ONU acusa a Israel de matar “deliberadamente” a los niños palestinos para ejecutar su plan genocida en Gaza,https://elpais.com/internacional/2026-06-23/la-onu-acusa-a-israel-de-matar-deliberadamente-a-los-ninos-palestinos-para-ejecutar-su-plan-genocida.html?amp_gsa=1&amp_js_v=a9&outputType=amp&usqp=mq331AQGsAEggAID,"El ejército israelí acabó en dos años con la vida de más de 20.000 menores, el 30% del total de las víctimas mortales en la Franja, y empleó torturas y violencia sexual contra ellos, según un nuevo informe de Naciones Unidas",551,550 clics,Menéame Portada - Pág 2,551,550,100.0,False,False
"Donald Trump afirma que su asistente personal, Natalie Harp, de 34 años, es la única persona que lo quiere tanto como su esposa, Melania [ENG]",https://www.irishstar.com/news/politics/trump-claims-mysterious-blonde-aide-37338774,"A medida que el grupo de personas con acceso directo al presidente, de 80 años, sigue reduciéndose, Harp se ha convertido en la favorita del presidente y ahora lo acompaña a diario, atendiendo cada una de sus necesidades. La mujer de 34 años, que en su día trabajó como presentadora de noticias conservadora, ahora pasa sus días consiguiendo artículos, buscando en Google, imprimiendo noticias de medios conservadores y sugiriendo publicaciones para Truth Social.",180,2221 clics,Menéame Portada - Pág 2,180,2221,8.1008100810081,False,False
Albares se muestra «totalmente favorable» de que se conceda la nacionalidad española a los saharauis,https://www.elcorreo.com/politica/albares-muestra-totalmente-favorable-conceda-nacionalidad-espanola-20260624185636-ntrc.html,"Después de que Sumar le apretara las tuercas al PSOE tras el golpe a la credibilidad del Gobierno que supuso la condena de José Luis Ábalos por la sentencia del caso mascarillas, el ministro de Asuntos Exteriores, Unión Europea y Cooperación, José Manuel Albares, le lanzó un guiño a su principal socio de Gobierno y se mostró «totalmente favorable» de que se conceda la nacionalidad española a los saharauis que nacieron bajo administración española.",329,331 clics,Menéame Portada - Pág 2,329,331,99.09638554216868,False,False
El seguimiento masivo del tercer día de la huelga cierra supermercados y almacenes en Gadis y Froiz [GAL],https://cig.gal/nova/o-seguimento-masivo-da-terceira-xornada-de-folga-pecha-supermercados-e-almacens-de-gadis-e-froiz.html,"La tercera jornada de huelga en el sector del comercio alimentario de la provincia de A Coruña registró un seguimiento masivo por parte del personal y prácticamente todos los trabajadores siguieron el desempleo tanto en tiendas como en centros logísticos. En cuanto a los supermercados, la actividad se mantuvo principalmente gracias a los responsables a cargo y al personal temporal, mientras que los trabajadores de más edad apoyaron la huelga de manera generalizada.",329,489 clics,Menéame Portada - Pág 2,329,489,67.14285714285714,False,False
Un tribunal de EE.UU. rechaza el embargo de activos de la selección por deudas del Estado con las renovables,https://www.lavozdegalicia.es/noticia/economia/2026/06/24/tribunal-eeuu-rechaza-embargo-activos-seleccion-deudas-estado-renovables/00031782292331190606179.htm,"Un tribunal estadounidense ha rechazado que el fondo Blasket, acreedor de España por el cambio de normativa de energías renovables del 2013, pueda embargar activos de empresas vinculadas a la selección española de fútbol, que es una entidad jurídica «distinta del Estado español».",221,462 clics,Menéame Portada - Pág 2,221,462,47.73218142548596,False,False
"Un hombre mata con un rifle a su mujer y a su hijo en Italia: el joven llegó a confesar que ""para mi padre es mejor estar muerto que ser gay""",https://www.telecinco.es/noticias/sucesos/20260624/hombre-mata-rifle-mujer-hijo-vado-italia-padre-mejor-muerto-ser-gay_18_019540345.html,"Un doble homicidio perpetrado este miércoles en la localidad de Vado, en las colinas de Camaiore, ha conmocionado a la provincia italiana de Lucca. Piero Moriconi, de 63 años, terminó con la vida de su pareja, Kety Andreoni, de 52 años, y de su hijo, Mirko Moriconi, de 24 años, en el interior de su domicilio. Así lo recogen fuentes como 'Corriere della Sera'. El aviso fue recibido por los servicios de emergencia a primera hora de la tarde tras escucharse detonaciones provenientes de la vivienda familiar. A pesar del rápido despliegue de los Car",261,652 clics,Menéame Portada - Pág 2,261,652,39.96937212863706,False,False
"Trump en mayo: “Si tuvieras un cuchillo, ni siquiera podrías cortar el estanque reflectante. Es muy resistente”. Trump ahora afirma que unos vándalos habrían dañado el estanque  con un cúter [ENG]",https://ca.news.yahoo.com/kaitlan-collins-humiliates-trump-brutal-150629974.html,"Kaitlan Collins, de CNN, ha señalado un fallo importante en las afirmaciones del presidente Donald Trump sobre el incidente del estanque reflectante. La presentadora cuestionó la versión de Trump de que el estanque reflectante del Monumento a Lincoln se volvió verde por las algas porque unos “vándalos” cortaron su nuevo y caro revestimiento de color “azul bandera americana”. Collins comenzó reproduciendo un clip en el que el presidente decía el martes que alguien “entró con un cuchillo y lo cortó”.",229,1204 clics,Menéame Portada - Pág 2,229,1204,19.00414937759336,False,False
El PP justifica los ataques de Feijóo a Patxi López usando a su padre: “Que se acostumbren”,https://www.eldiario.es/politica/ultima-hora-comparecencia-sanchez-congreso-directo_6_13328214_1123798.html,"El PP ha justificado este miércoles que su jefe de filas, Alberto Núñez Feijóo, haya utilizado al fallecido padre de Patxi López para atacar al hoy portavoz del PSOE en el Congreso. “Que se acostumbren. No les vamos a dejar pasar una”, apuntan fuentes del partido.",414,1330 clics,Menéame Portada - Pág 2,414,1330,31.104432757325316,False,False
Fuerte sismo de magnitud 7.1 sacude el norte de Venezuela y se siente con fuerza en Caracas,https://www.univision.com/noticias/america-latina/sismo-de-magnitud-7-1-sacude-venezuela,"Un sismo de magnitud 7.1 se produjo en en la costa central venezolana este miércoles, reportó el Servicio Geológico de EEUU. Aún no hay reporte oficial de víctimas o daños, pero imágenes y videos divulgados en redes sociales dan cuenta de daños en edificios e infraestructuras en Caracas.",277,954 clics,Menéame Portada - Pág 2,277,954,29.005235602094242,False,False
15.000 ciclos de cargas y 30 años de vida útil: CATL rompe todos los esquemas con su nueva batería de sodio,https://www.hibridosyelectricos.com/coches/15000-ciclos-cargas-30-anos-vida-util-catl-rompe-todos-esquemas-con-su-nueva-bateria-sodio_87608_102.html,"CATL ha presentado TENER Sodium-Ion, una batería de sodio para almacenamiento estacionario, no para coches, que redefine la durabilidad de esta tecnología. Da 15.000 ciclos de carga y una vida útil de 25 a 30 años, manteniendo el 70% de capacidad. Funciona en condiciones extremas, conservando el 92% a –20 °C y superando 10.000 ciclos a 45 °C sin refrigeración adicional. Usa materiales abundantes y baratos, lo que reduce costes. Incluye un nuevo sistema PCS que mejora la eficiencia y estará disponible en China desde 2026 para exportarse después.",315,944 clics,Menéame Portada - Pág 2,315,944,33.33333333333333,False,False
"Los cinco ""hechos irrefutables"" de Sánchez sobre las causas contra su familia",https://www.publico.es/politica/gobierno/cinco-hechos-irrefutables-sanchez-sobre-causas-familia.html,"El primero de ellos es que según la propia UCO la plaza por la que está siendo juzgado su hermano fue creada el 10 de octubre de 2016 y fue convocada el 19 de mayo del 2017. ""Es decir, durante un periodo en el que yo no tenía ningún cargo en el PSOE. De hecho, en la segunda fecha yo ni siquiera era diputado"", ha afirmado Sánchez.",376,3419 clics,Menéame Portada - Pág 2,376,3419,10.994152046783626,False,False
"No, Keir Starmer no es ""un hombe decente que ha tenido mala suerte"" (ING)",https://www.theguardian.com/commentisfree/2026/jun/23/keir-starmer-uk-prime-minister-peter-mandelson-gaza,"Sobre la dimisión de Starmer. No, no  es ""un hombre decente derrotado por las circunstancias"",  sino un politico sin principios. Al ganar la candidatura, prometió más impuestos para los ricos, nacionalización de servicios públicos,abolición de tasas educativas, una politica inmigración humana y la abolición de la Cámara de los Lores. Cuando llegó al poder, olvidó sus promesas o hizo exactamente lo contrario, empezando por la expulsión de su antiguo amigo y jefe, Jeremy Corbyn, por ser demasiado ""radical"".",333,1049 clics,Menéame Portada - Pág 2,333,1049,31.71428571428571,False,False
"El ‘pegamento para nervios’ ya es real, y sí funciona",https://es.wired.com/articulos/el-pegamento-para-nervios-ya-es-real-y-si-funciona,"Suena a ciencia ficción, pero este material biodegradable se activa con luz azul para acelerar la regeneración de tejidos. Cada año, unos 500,000 estadounidenses sufren lesiones nerviosas que requieren tratamiento, ya sea por un intento fallido de sacar el hueso de un aguacate o por un desafortunado accidente mientras trabajaban la madera. Muchos nunca recuperarán por completo la sensibilidad en los dedos. Sin embargo, una startup ha desarrollado un líquido espeso y pegajoso que podría cambiar esta situación, y ha comenzado a utilizarlo",199,714 clics,Menéame Portada - Pág 2,199,714,27.83216783216783,False,False
Los SUV y coches cada vez más grandes incrementan los riesgos de accidentes mortales en las ciudades,https://www.ecologistasenaccion.org/372287/,"Un nuevo informe publicado hoy ha analizado el crecimiento de los vehículos desde el año 2000, muestra cómo la longitud media de los coches nuevos vendidos aumenta 1,2 cm y su altura aumenta 0,5 cm al año. Esto ocurre a pesar de que el tamaño de las familias y la ocupación de los coches están disminuyendo, ya que los fabricantes sólo producen los más grandes. Las consecuencias son claras: se corre el riesgo de aumentar de manera significativa la mortalidad en los atropellos y accidentes de tráfico.",265,942 clics,Menéame Portada - Pág 2,265,942,28.101802757158005,False,False
"Polémica por la adjudicación de viviendas protegidas en la Costa del Sol: familiares de cargos del PP, entre los mejor puntuados",https://www.elplural.com/autonomias/andalucia/polemica-adjudicacion-viviendas-protegidas-costa-sol-familiares-cargos-pp-entre-mejor-puntuados_393778102,"Dos hijas del alcalde, hijos de varios concejales y familiares de antiguos responsables municipales entre los aspirantes mejor colocados en el listado de aspirantes.",802,859 clics,Menéame Portada - Pág 2,802,859,93.25581395348837,False,False
Arrestan a turista española en Brasil por comentarios racistas: “Solo hay monos afuera”,https://www.excelsior.com.mx/internacional/solo-hay-monos-afuera-arrestan-turista-espanola-brasil-por-comentarios-racistas,"Una turista española fue detenida en el Aeropuerto Internacional de São Paulo-Guarulhos tras realizar comentarios racistas en plena pista de aterrizaje, apenas descendió del avión. De acuerdo con testimonios recogidos por el medio Globo, los pasajeros permanecían dentro del transporte debido a la falta de escaleras para el embarque. La mujer comentó que el retraso se debía a que “solo había monos afuera”. La declaración generó indignación inmediata y motivó la intervención de la Policía Federal, que procedió a arrestarla en el lugar. La pas...",279,1669 clics,Menéame Portada - Pág 2,279,1669,16.706586826347305,False,False
Francia abre una investigación por anuncios de peluches y juguetes en Vinted: sospechan que es un posible sistema de comunicación cifrado de pedófilos,https://www.infobae.com/espana/2026/06/24/francia-abre-una-investigacion-por-anuncios-de-peluches-y-juguetes-en-vinted-sospechan-que-es-un-posible-sistema-de-comunicacion-cifrado-de-pedofilos/,"La Policía Nacional de Francia ha presentado varias denuncias ante la plataforma Pharos tras detectar anuncios sospechosos en el sitio de reventa Vinted. Según ha podido saber Europe 1, las autoridades francesas estarían investigando un posible sistema de comunicación cifrado mediante el cual se podría estar cometiendo un delito de tráfico de menores.",219,2209 clics,Menéame Portada - Pág 2,219,2209,9.90950226244344,False,False
