Categoria,Título,Descripción,Enlace,Fecha_Publicacion,Señales_de_Sensacionalismo,¿Tiene_Señales?
Política,<![CDATA[Elecciones 2026: JEE iniciarán en las próximas horas proclamación de resultados de la segunda vuelta]]>,"La secretaria general del Jurado Nacional de Elecciones (JNE), Yessica Clavijo, informó que los Jurados Electorales Especiales (JEE) iniciarán en las próximas horas la proclamación descentralizada de resultados de la segunda vuelta de las Elecciones Generales 2026.",,,Ninguna,False
Política,<![CDATA[JEE declara inadmisibles las 22 listas de candidatos a alcaldes y regidores al municipio de Lima: ¿Qué ocurrió y qué deben hacer?]]>,Al menos 12 listas de candidatos a alcaldes y regidores de la Municipalidad de Lima fueron declaradas inadmisibles por el Jurado Electoral Especial (JEE) de Lima Centro hasta este lunes 22 de junio.,,,Ninguna,False
Política,<![CDATA[Fuerza Popular califica la actitud de Roberto Sánchez como “antidemocrática” y señala que está en “negación” ]]>,"Minutos después de que concluyera la conferencia donde Roberto Sánchez, postulante a la presidencia de Juntos por el Perú, dijo que había un “fraude en proceso” y que no reconocerá a un gobierno de Fuerza Popular, Keiko Fujimori salió de su casa en San Borja para dirigirse al local de su partido en el mismo distrito, donde a lo largo de este martes sostuvo diversas reuniones.",,,Ninguna,False
Política,<![CDATA[Secretaria general del JNE: “Lo más importante es dar un mensaje a las organizaciones políticas que respeten los principios democráticos”]]>,"La secretaria general del Jurado Nacional de Elecciones (JNE), Yessica Clavijo, afirmó que para el máximo organismo electoral, lo más importante es dar un mensaje a todas las organizaciones políticas de que se deben “respetar los principios democráticos”, luego de la segunda vuelta.",,,Ninguna,False
Política,<![CDATA[El sur del Perú: un sólido bloque regional que vota contra Keiko Fujimori desde hace 15 años]]>,"Keiko Fujimori solo ganó en tres de las 46 provincias que conforman seis regiones del sur. Aun así, los resultados obtenidos por Pedro Castillo son mejores que los de Roberto Sánchez.",,,Ninguna,False
Mundo,<![CDATA[OMS recuerda que las primeras 72 horas tras los terremotos son críticas para salvar vidas]]>,La OMS señaló que las primeras 72 horas son clave para salvar vidas en Venezuela y alertó sobre el impacto de los sismos en su frágil sistema de salud.,,,Ninguna,False
Mundo,<![CDATA[Terremoto en Venezuela: Delcy Rodríguez anuncia la militarización del estado costero La Guaira tras los sismos]]>,Venezuela militariza el estado de La Guaira tras los devastadores terremotos que dejaron cientos de víctimas y graves daños.,,,Ninguna,False
Mundo,<![CDATA[Terremotos en Venezuela EN VIVO: últimas noticias tras sismos que dejan al menos 589 muertos y 2.980 heridos]]>,"Terremoto en Venezuela EN VIVO: reportes, heridos, daños y más noticias del sismo que afectó al país",,,Ninguna,False
Mundo,<![CDATA[El Gobierno español ofrece a Venezuela todos sus recursos para superar la tragedia]]>,El Gobierno de España ofreció ayuda y envió equipos de emergencia a Venezuela tras los sismos que dejaron cientos de muertos y miles de heridos.,,,Ninguna,False
Mundo,<![CDATA[Terremoto en Venezuela: Se elevan a 589 las personas fallecidas y a 2.980 los heridos]]>,Venezuela eleva a 589 los fallecidos y 2.980 los heridos por los terremotos; autoridades reportan 214 réplicas.,,,Ninguna,False
Mundo,<![CDATA[Efemérides del 26 de junio: ¿Qué pasó en el mundo un día como hoy?]]>,"Efemérides | Conoce qué sucedía en el mundo un 26 de junio, un día cargado de nacimientos, muertes y otros momentos históricos que conmocionaron al mundo.",,,Ninguna,False
Mundo,<![CDATA[“Un Estado desmantelado no tiene capacidad de respuesta”: cómo el terremoto pone a prueba al gobierno interino de Venezuela]]>,El desastre expone las limitaciones del Estado venezolano y pone a prueba la gobernabilidad de Delcy Rodríguez.,,,Ninguna,False
Mundo,"<![CDATA[“No te vayas, no me dejes”: la tragedia que vive La Guaira mientras sobrevivientes esperan rescate tras los terremotos en Venezuela]]>","Los gritos de auxilio emergen desde edificios colapsados en La Guaira, el estado más golpeado por los terremotos en Venezuela. Sobrevivientes, familiares y vecinos libran una carrera contrarreloj mientras esperan la llegada de equipos de rescate",,,Ninguna,False
Mundo,<![CDATA[Al menos dos brasileños murieron en los terremotos de Venezuela]]>,"Al menos dos brasileños perdieron la vida en los dos terremotos del miércoles en Venezuela que dejan hasta ahora 235 muertos y 4.300 heridos, informó este jueves el Ministerio de Relaciones Exteriores de Brasil.",,,Ninguna,False
Mundo,"<![CDATA[Terremoto en Venezuela EN VIVO: 235 muertos, 4.300 heridos, edificios derrumbados y escenas de pánico]]>","Terremoto en Venezuela | “Se desprendieron las escaleras, se rajó toda la pared. Cayeron cosas del techo. Fue horrible”, señaló Odalis Escalona, de 54 años y que trabaja en un banco",,,Ninguna,False
Mundo,<![CDATA[¿Cómo Ucrania intenta aislar Crimea de Rusia? La estrategia de Kiev para cambiar el rumbo de la guerra]]>,Ucrania intensifica sus ataques contra Crimea para debilitar la logística de Rusia. Analista consultado por El Comercio explica la estrategia de Kiev y su impacto en la guerra,,,Ninguna,False
Mundo,<![CDATA[La Cruz Roja Internacional inicia el envío de toneladas de ayuda humanitaria a Venezuela]]>,"Al menos 40 toneladas de ayuda humanitaria comenzarán a salir este jueves desde Panamá hacia Venezuela, donde dos potentes terremotos, de magnitudes 7,2 y 7,5, han dejado 235 muertos, 4.300 heridos y devastación en varias zonas del país, informó la Federación Internacional de la Cruz Roja.",,,Ninguna,False
Mundo,"<![CDATA[Venezuela: Rescatados sin sus padres, niños llegan a hospitales en Caracas tras potentes terremotos]]>","Yenderlin Cabarza llegó con fracturas a emergencias desde la zona más golpeada por los devastadores terremotos en Venezuela que dejaron al menos 188 muertos. Su madre no sobrevivió. Tampoco su tío que la protegió con su cuerpo del derrumbe. La adolescente, de 13 años, espera sola por atención médica, como decenas de menores.",,,Ninguna,False
Mundo,<![CDATA[Noboa declara feriado este viernes en Ecuador tras el triunfo de la selección]]>,"Feriado en Ecuador | El presidente de Ecuador, Daniel Noboa, declaró feriado este viernes a propósito de la última victoria de la selección de fútbol en el tercer partido de la fase de grupos del Mundial 2026 frente a Alemania, según anunció en su cuenta de X y constató mediante decreto ejecutivo.",,,Ninguna,False
Mundo,"<![CDATA[Venezuela, la búsqueda contrarreloj de sobrevivientes un día después de los terremotos]]>","Cae la noche y continúan las labores de búsqueda de supervivientes en Venezuela luego de más de 24 horas de los dos fuertes terremotos que sacudieron este miércoles el país petrolero, y que han dejado al menos 235 muertos y 4.300 heridos, así como centenares de estructuras colapsadas.",,,Ninguna,False
Mundo,<![CDATA[Terremoto en Venezuela: ¿qué procesos hay en movimientos de sucesión corta y por qué no es correcto hablar de “sismos dobles”?]]>,"El sismo en territorio venezolano ha dejado decenas de fallecidos y daños tras dos fuertes movimientos separados por un cortísimo espacio de tiempo. Especialistas consultados por El Comercio señalan que los procesos detrás de estos fenómenos son demasiado complejos como para calificarlos de “dobles”, a la vez que indican que no hay regiones particularmente susceptibles a eventos de estas características.",,,Ninguna,False
Mundo,<![CDATA[Dos potentes terremotos sacuden Venezuela en un minuto: hay al menos 235 muertos y más de 4.300 heridos]]>,"Terremotos en Venezuela | El número de fallecidos en Venezuela a causa de los dos terremotos del miércoles se elevó a 235 y el de heridos a 4.300, mientras se calcula cientos de construcciones, como edificios, hospitales y centros comerciales, resultados afectadas, informó este jueves el ministro de Salud, Carlos Alvarado.",,,Ninguna,False
Mundo,"<![CDATA[Más de 100 edificios colapsados en La Guaira, estado con mayor afectación por terremotos en Venezuela]]>","Más de 100 edificios colapsaron en el estado costero La Guaira (norte, cercano a Caracas) debido a los terremotos de este miércoles de magnitud 7,2 y 7,5 en Venezuela, respectivamente, informó el ministro de Interior, Diosdado Cabello.",,,Ninguna,False
Mundo,<![CDATA[Estados Unidos levanta sanciones para permitir transacciones de ayuda a Venezuela por terremotos]]>,"Estados Unidos autorizó este jueves transacciones a Venezuela, prohibidas por las sanciones, siempre y cuando estén relacionadas con las “labores de socorro” por los terremotos del miércoles que han dejado hasta el momento más de 180 muertos.",,,Ninguna,False
Mundo,<![CDATA[España confirma dos muertos y 80 desaparecidos tras los terremotos de Venezuela]]>,"El Ministerio de Asuntos Exteriores de España informó de la muerte de dos españoles en los terremotos de Venezuela, confirmada por familiares, y que en estos momentos hay otros 80 ciudadanos nacionales desaparecidos.",,,Ninguna,False
Mundo,"<![CDATA[Delcy Rodríguez visita La Guaira, epicentro de la devastación de los terremotos en Venezuela]]>","La presidenta encargada de Venezuela, Delcy Rodríguez, visitó este jueves La Guaira, un estado cercano a Caracas y de los más afectados por los terremotos de este miércoles, de magnitud 7,2 y 7,5.",,,Ninguna,False
Mundo,<![CDATA[ONU describe como “aterradora” la devastación causada por los terremotos en Venezuela]]>,"El secretario general adjunto de Asuntos Humanitarios de la ONU, Tom Fletcher, dijo a EFE este jueves que la situación en las zonas afectadas por los terremotos en Venezuela es de una “devastación realmente aterradora”, mientras el organismo coordina el despliegue de al menos 12 equipos internacionales de búsqueda y rescate.",,,Ninguna,False
Mundo,<![CDATA[¿Qué son los tetrápodos instalados en la frontera entre Chile y Perú y por qué preocupa un efecto rebote en Tacna?]]>,"Chile blinda su frontera con tetrápodos de 16 toneladas y zanjas para reforzar el control migratorio y combatir el contrabando, pero analista consultado por El Comercio alerta que la estrategia podría desplazar el problema hacia Tacna en lugar de resolverlo",,,Ninguna,False
Mundo,<![CDATA[Terremotos en Venezuela: La Guaira clama ayuda del Gobierno mientras vecinos buscan sobrevivientes entre los escombros]]>,"Terremotos en Venezuela | En La Guaira, los gritos en búsqueda de familiares no paran. El trabajo a pico y pala y sin maquinaria está a cargo principalmente de los propios ciudadanos afectados. Hay cadáveres en los costados en la calle",,,Ninguna,False
Mundo,"<![CDATA[La Guaira, la zona más devastada por los terremotos en Venezuela, pide auxilio: “Todo se desplomó” ]]>","La Guaira, a 40 minutos de Caracas  y donde se encuentra el aeropuerto internacional de Maiquetía, fue la región más afectada por los terremotos en Venezuela. El gobierno interino la declaró “zona de desastre”",,,Ninguna,False
Mundo,"<![CDATA[La Guaira, la zona cero de los terremotos en Venezuela: destrucción, caos, saqueos y desesperación]]>","Edificios colapsados, familias desesperadas, saqueos y una ayuda que tarda en llegar marcan las horas más dramáticas en La Guaira, el epicentro de la tragedia que sacude a Venezuela",,,Ninguna,False
Mundo,<![CDATA[Videos del momento en el que dos terremotos golpean Venezuela provocando el derrumbe de edificios]]>,Los videos de los dos violentos terremotos que sacudieron Caracas con menos de 40 segundos de diferencia,,,Ninguna,False
Mundo,"<![CDATA[“La Guaira es una verdadera tragedia y se convierte en una zona de desastre”, dice Delcy Rodríguez tras terremotos]]>","“Tenemos reportes de 32 fallecidos sin contar aún con la cifras que pueda arrojar el estado La Guaira, y más de 700 heridos que hemos estado recibiendo en emergencia tanto de hospitales públicos como de centros de salud privados”, declaró Delcy Rodríguez",,,Ninguna,False
Mundo,<![CDATA[El Servicio Geológico de Estados Unidos estima entre 10.000 y 100.000 muertos en Venezuela por los dos terremotos]]>,"El USGS hizo una estimación, basada en modelos automáticos, de entre 10.000 y 100.000 muertos por los dos terremotos que sacudieron Venezuela",,,Ninguna,False
